level,study_type,profession,start_time,phone_artifact,flight_airport,travel_soap,possession_popcorn,music_jazz,investigation_operation,fertility_crane,radio_music,gem_jewel,drug_alcohol,professor_currency,motto_Jackson,number_equipment,archive_bird,war_journal,troops_personnel,round_Jerusalem,minister_bishop,ministry_government,artifact_object,governor_jazz,practice_law,collection_memorabilia,fertility_hotel,size_environment,science_scientist,video_problem,defeating_discipline,gin_alcohol,year_century,end_time
wo,beta,Veterinary medicine,2019-02-20 21:52:06,7,4,3,6,8,3,3,1,2,2,9,1,10,2,3,9,10,10,5,2,2,5,5,9,3,7,3,7,8,10,2019-02-20 21:55:10
hbo,alpha,Speech therapist,2019-02-20 21:53:48,9,2,1,10,2,5,2,9,4,0,8,2,10,1,5,10,10,8,2,0,1,7,10,8,2,0,1,10,9,9,2019-02-20 21:55:24
wo,beta,PhD climate science,2019-02-20 22:05:46,9,3,1,8,0,4,3,7,1,1,10,2,9,8,6,9,10,8,7,0,0,5,10,9,3,2,0,8,9,9,2019-02-20 22:08:19
wo,gamma,Master of Business Informatics,2019-02-20 22:10:37,10,6,1,1,0,0,0,4,0,0,10,0,10,0,2,9,10,7,0,0,1,2,10,9,0,6,0,6,2,9,2019-02-20 22:13:36
wo,beta,PhD student of organic chemistry,2019-02-20 22:12:07,8,2,0,3,0,0,1,5,0,0,9,1,9,0,0,9,9,8,0,0,0,0,10,7,1,2,0,6,7,9,2019-02-20 22:16:00
wo,beta,Sustainability Studies,2019-02-20 22:14:40,9,4,6,3,0,6,5,6,4,0,8,1,8,0,6,9,10,8,6,2,6,7,10,10,6,7,0,8,10,8,2019-02-20 22:17:52
wo,beta,industral design engineering student ,2019-02-20 22:14:47,10,1,0,5,0,6,0,7,0,0,6,2,4,0,1,6,9,5,1,0,0,1,10,8,1,3,0,7,10,10,2019-02-20 22:17:54
wo,beta,Sustainability Studies,2019-02-20 22:14:40,9,4,6,3,0,6,5,6,4,0,8,1,8,0,6,9,10,8,6,2,6,7,10,10,6,7,0,8,10,8,2019-02-20 22:17:52
wo,alpha,Hrm/management of cultural diversity,2019-02-20 22:38:06,9,7,5,6,1,3,6,2,2,0,9,5,10,3,8,9,5,10,6,2,7,7,10,10,2,7,6,7,7,9,2019-02-20 22:41:53
wo,gamma,Social Sciences,2019-02-20 23:06:40,8,3,0,1,0,0,0,1,0,0,3,0,8,0,0,9,7,6,0,0,0,0,10,9,0,2,0,4,3,7,2019-02-20 23:09:56
wo,alpha,Philosophy,2019-02-20 23:14:29,9,2,0,6,5,1,1,8,2,0,10,8,10,2,7,10,8,10,2,0,1,7,10,10,4,5,0,8,9,10,2019-02-20 23:16:41
wo,beta,Artificial Intelligence,2019-02-20 23:15:17,9,6,1,7,1,3,5,8,1,0,10,3,10,6,5,9,10,8,2,1,3,3,10,9,7,7,0,6,8,10,2019-02-20 23:18:22
hbo,alpha,Performer and director,2019-02-20 23:12:48,10,5,0,3,0,6,2,8,0,0,10,1,9,0,4,8,8,8,0,0,0,1,10,9,1,3,0,6,8,8,2019-02-20 23:23:23
wo,NA,Bachelor,2019-02-21 7:09:35,8,2,0,6,0,2,0,0,2,0,8,0,10,0,8,8,8,10,2,0,2,0,10,10,2,0,2,0,10,10,2019-02-21 7:13:03
wo,beta,History and Philosophy of Science ,2019-02-21 11:44:33,9,4,1,5,0,0,1,9,0,0,10,0,10,0,0,10,10,10,0,0,1,3,10,10,7,7,0,10,10,10,2019-02-21 11:46:24
wo,beta,Student Master Artificial intelligence,2019-02-21 13:04:26,8,2,1,4,0,3,3,2,0,0,9,0,10,0,6,10,10,10,6,0,2,6,10,9,2,8,0,4,10,9,2019-02-21 13:08:23
wo,gamma,Human technology interaction,2019-02-21 15:34:41,8,4,2,3,0,5,3,1,0,0,6,0,9,0,2,10,9,7,1,0,1,2,10,9,2,6,0,5,8,9,2019-02-21 15:36:49
